tmlprm,tmlversi,tmldata,tmlnobuk,tmlkode1,tmlkode2,tmlkode3,tmlkode4,tmlket1,tmlket2,tmlket3,tmlket4,tmlkode5,tmlkode6,tmlyt,tmlcrtusr,tmlscr,tmltotal1,tmltotal2,tmltotal3,tmltotal4,tmltotal5
1384,0,DTTMPLAP,RUGILABA,BLN,411.01.1201,,A1002,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1386,1,DTTMPLAP,RUGILABA,BLN,411.01.2101,,A1001,TUNAI,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1388,1,DTTMPLAP,RUGILABA,BLN,411.01.2102,,A1001,KREDIT,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1390,0,DTTMPLAP,RUGILABA,BLN,411.01.2103,,A1001,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1392,0,DTTMPLAP,RUGILABA,BLN,411.01.2201,,A3002,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1394,0,DTTMPLAP,RUGILABA,BLN,411.01.2202,,A3002,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1396,2,DTTMPLAP,RUGILABA,BLN,411.01.2301,,D0001,,TDK KONTRIBUS,,PENDBILAIN,,,,,,0.0,0.0,0.0,0.0,0.0
1398,1,DTTMPLAP,RUGILABA,BLN,411.01.2401,TDK,A1002,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1400,0,DTTMPLAP,RUGILABA,BLN,411.01.2402,,A3004,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1402,0,DTTMPLAP,RUGILABA,BLN,411.01.2403,,A1002,MKT,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1404,0,DTTMPLAP,RUGILABA,BLN,411.01.2404,,A3004,,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1406,4,DTTMPLAP,RUGILABA,BLN,411.01.2405,TDK,C0001,,,,NPL,,,,,,0.0,0.0,0.0,0.0,0.0
1408,1,DTTMPLAP,RUGILABA,BLN,411.01.2406,KOMISI,B0012,MKT,TDK KONTRIBUS,BISNIS_SISPOK,OPEX,,,,,,0.0,0.0,0.0,0.0,0.0
1410,3,DTTMPLAP,RUGILABA,BLN,411.01.2407,TDK,A4002,,,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1412,1,DTTMPLAP,RUGILABA,BLN,411.01.2408,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
1414,1,DTTMPLAP,RUGILABA,BLN,411.01.2409,,A2001,AHASS,TDK KONTRIBUS,,LABA,,,,,,0.0,0.0,0.0,0.0,0.0
